Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,D Term 1,P Term 1,D Term 2
x*(-x/2 + 1/2)**2*(x - 1)*(x - 1/2)**2/2,-1,1,83/168,wjm1o2p,wjm1o2p,dphijm1o2,phijm1o2,dphijm1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2)**2/2,-1,1,47/840,wjp1o2m,wjm1o2p,dphijm1o2,phijm1o2,dphijm1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2)**2/2,-1,1,47/840,wjm1o2p,wjp1o2m,dphijm1o2,phijm1o2,dphijm1o2
x*(x/2 + 1/2)**2*(x - 1)*(x - 1/2)**2/2,-1,1,3/280,wjp1o2m,wjp1o2m,dphijm1o2,phijm1o2,dphijm1o2
-x**2*(-x/2 + 1/2)**2*(x - 1)*(x - 1/2),-1,1,-127/210,wjm1o2p,wjm1o2p,dphij,phijm1o2,dphijm1o2
-x**2*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2),-1,1,-13/210,wjp1o2m,wjm1o2p,dphij,phijm1o2,dphijm1o2
-x**2*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2),-1,1,-13/210,wjm1o2p,wjp1o2m,dphij,phijm1o2,dphijm1o2
-x**2*(x/2 + 1/2)**2*(x - 1)*(x - 1/2),-1,1,-1/210,wjp1o2m,wjp1o2m,dphij,phijm1o2,dphijm1o2
x*(-x/2 + 1/2)**2*(x - 1)*(x - 1/2)*(x + 1/2)/2,-1,1,31/280,wjm1o2p,wjm1o2p,dphijp1o2,phijm1o2,dphijm1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2)*(x + 1/2)/2,-1,1,1/168,wjp1o2m,wjm1o2p,dphijp1o2,phijm1o2,dphijm1o2
x*(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2)*(x + 1/2)/2,-1,1,1/168,wjm1o2p,wjp1o2m,dphijp1o2,phijm1o2,dphijm1o2
x*(x/2 + 1/2)**2*(x - 1)*(x - 1/2)*(x + 1/2)/2,-1,1,-1/168,wjp1o2m,wjp1o2m,dphijp1o2,phijm1o2,dphijm1o2
-(-x/2 + 1/2)**2*(x - 1)*(x - 1/2)**2*(x + 1),-1,1,23/70,wjm1o2p,wjm1o2p,dphijm1o2,phij,dphijm1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2)**2*(x + 1),-1,1,11/105,wjp1o2m,wjm1o2p,dphijm1o2,phij,dphijm1o2
-(-x/2 + 1/2)*(x/2 + 1/2)*(x - 1)*(x - 1/2)**2*(x + 1),-1,1,11/105,wjm1o2p,wjp1o2m,dphijm1o2,phij,dphijm1o2
-(x/2 + 1/2)**2*(x - 1)*(x - 1/2)**2*(x + 1),-1,1,13/210,wjp1o2m,wjp1o2m,dphijm1o2,phij,dphijm1o2
2*x*(-x/2 + 1/2)**2*(x - 1)*(x - 1/2)*(x + 1),-1,1,-34/105,wjm1o2p,wjm1o2p,dphij,phij,dphijm1o2
