Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,D Term 1,D Term 2,P Term 1,P Term 2
x**2*(-x/2 + 1/2)*(x - 1)**2*(x - 1/2)**2/4,-1,1,337/840,wjm1o2p,dphijm1o2,dphijm1o2,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2*(x - 1/2)**2/4,-1,1,31/840,wjp1o2m,dphijm1o2,dphijm1o2,phijm1o2,phijm1o2
-x**3*(-x/2 + 1/2)*(x - 1)**2*(x - 1/2)/2,-1,1,-1/2,wjm1o2p,dphij,dphijm1o2,phijm1o2,phijm1o2
-x**3*(x/2 + 1/2)*(x - 1)**2*(x - 1/2)/2,-1,1,-3/70,wjp1o2m,dphij,dphijm1o2,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x - 1)**2*(x - 1/2)*(x + 1/2)/4,-1,1,83/840,wjm1o2p,dphijp1o2,dphijm1o2,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2*(x - 1/2)*(x + 1/2)/4,-1,1,1/168,wjp1o2m,dphijp1o2,dphijm1o2,phijm1o2,phijm1o2
-x**3*(-x/2 + 1/2)*(x - 1)**2*(x - 1/2)/2,-1,1,-1/2,wjm1o2p,dphijm1o2,dphij,phijm1o2,phijm1o2
-x**3*(x/2 + 1/2)*(x - 1)**2*(x - 1/2)/2,-1,1,-3/70,wjp1o2m,dphijm1o2,dphij,phijm1o2,phijm1o2
x**4*(-x/2 + 1/2)*(x - 1)**2,-1,1,22/35,wjm1o2p,dphij,dphij,phijm1o2,phijm1o2
x**4*(x/2 + 1/2)*(x - 1)**2,-1,1,2/35,wjp1o2m,dphij,dphij,phijm1o2,phijm1o2
-x**3*(-x/2 + 1/2)*(x - 1)**2*(x + 1/2)/2,-1,1,-9/70,wjm1o2p,dphijp1o2,dphij,phijm1o2,phijm1o2
-x**3*(x/2 + 1/2)*(x - 1)**2*(x + 1/2)/2,-1,1,-1/70,wjp1o2m,dphijp1o2,dphij,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x - 1)**2*(x - 1/2)*(x + 1/2)/4,-1,1,83/840,wjm1o2p,dphijm1o2,dphijp1o2,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2*(x - 1/2)*(x + 1/2)/4,-1,1,1/168,wjp1o2m,dphijm1o2,dphijp1o2,phijm1o2,phijm1o2
-x**3*(-x/2 + 1/2)*(x - 1)**2*(x + 1/2)/2,-1,1,-9/70,wjm1o2p,dphij,dphijp1o2,phijm1o2,phijm1o2
-x**3*(x/2 + 1/2)*(x - 1)**2*(x + 1/2)/2,-1,1,-1/70,wjp1o2m,dphij,dphijp1o2,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x - 1)**2*(x + 1/2)**2/4,-1,1,5/168,wjm1o2p,dphijp1o2,dphijp1o2,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)*(x - 1)**2*(x + 1/2)**2/4,-1,1,1/120,wjp1o2m,dphijp1o2,dphijp1o2,phijm1o2,phijm1o2
-x*(-x/2 + 1/2)*(x - 1)**2*(x - 1/2)**2*(x + 1)/2,-1,1,13/70,wjm1o2p,dphijm1o2,dphijm1o2,phij,phijm1o2
