Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,W Term 3,D Term 1,D Term 2
9*(-3*x/2 - 1/2)*(x + 2/3)*(x + 1)/2,-1,-1/3,0,wjm3o2p,tphijm1o2
9*(x + 2/3)*(x + 1)*(3*x/2 + 3/2)/2,-1,-1/3,1/9,wjm1o2m,tphijm1o2
9*x*(-3*x/2 + 1/2)*(x - 1/3)/2,-1/3,1/3,1/9,wjm1o2p,tphijm1o2
9*x*(x - 1/3)*(3*x/2 + 1/2)/2,-1/3,1/3,0,wjp1o2m,tphijm1o2
-9*(-3*x/2 + 1/2)*(x - 1/3)*(x + 1/3),-1/3,1/3,2/9,wjm1o2p,tphij
-9*(x - 1/3)*(x + 1/3)*(3*x/2 + 1/2),-1/3,1/3,2/9,wjp1o2m,tphij
9*x*(-3*x/2 + 1/2)*(x + 1/3)/2,-1/3,1/3,0,wjm1o2p,tphijp1o2
9*x*(x + 1/3)*(3*x/2 + 1/2)/2,-1/3,1/3,1/9,wjp1o2m,tphijp1o2
9*(-3*x/2 + 3/2)*(x - 1)*(x - 2/3)/2,1/3,1,1/9,wjp1o2p,tphijp1o2
9*(x - 1)*(x - 2/3)*(3*x/2 - 1/2)/2,1/3,1,0,wjp3o2m,tphijp1o2
