Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,W Term 3,D Term 1,D Term 2
(-3*x/2 - 1/2)**3*(9*x + 9/2)*(9*x + 15/2),-1,-1/3,13/40,wjm3o2p,wjm3o2p,wjm3o2p,dphijm3o2,dtphijm1o2
(-3*x/2 - 1/2)**2*(3*x/2 + 3/2)*(9*x + 9/2)*(9*x + 15/2),-1,-1/3,-1/40,wjm1o2m,wjm3o2p,wjm3o2p,dphijm3o2,dtphijm1o2
(-3*x/2 - 1/2)**2*(3*x/2 + 3/2)*(9*x + 9/2)*(9*x + 15/2),-1,-1/3,-1/40,wjm3o2p,wjm1o2m,wjm3o2p,dphijm3o2,dtphijm1o2
(-3*x/2 - 1/2)*(3*x/2 + 3/2)**2*(9*x + 9/2)*(9*x + 15/2),-1,-1/3,-1/40,wjm1o2m,wjm1o2m,wjm3o2p,dphijm3o2,dtphijm1o2
(-3*x/2 - 1/2)**2*(3*x/2 + 3/2)*(9*x + 9/2)*(9*x + 15/2),-1,-1/3,-1/40,wjm3o2p,wjm3o2p,wjm1o2m,dphijm3o2,dtphijm1o2
(-3*x/2 - 1/2)*(3*x/2 + 3/2)**2*(9*x + 9/2)*(9*x + 15/2),-1,-1/3,-1/40,wjm1o2m,wjm3o2p,wjm1o2m,dphijm3o2,dtphijm1o2
(-3*x/2 - 1/2)*(3*x/2 + 3/2)**2*(9*x + 9/2)*(9*x + 15/2),-1,-1/3,-1/40,wjm3o2p,wjm1o2m,wjm1o2m,dphijm3o2,dtphijm1o2
(3*x/2 + 3/2)**3*(9*x + 9/2)*(9*x + 15/2),-1,-1/3,13/40,wjm1o2m,wjm1o2m,wjm1o2m,dphijm3o2,dtphijm1o2
(-18*x - 12)*(-3*x/2 - 1/2)**3*(9*x + 15/2),-1,-1/3,-1/2,wjm3o2p,wjm3o2p,wjm3o2p,dphijm1,dtphijm1o2
(-18*x - 12)*(-3*x/2 - 1/2)**2*(3*x/2 + 3/2)*(9*x + 15/2),-1,-1/3,-1/10,wjm1o2m,wjm3o2p,wjm3o2p,dphijm1,dtphijm1o2
(-18*x - 12)*(-3*x/2 - 1/2)**2*(3*x/2 + 3/2)*(9*x + 15/2),-1,-1/3,-1/10,wjm3o2p,wjm1o2m,wjm3o2p,dphijm1,dtphijm1o2
(-18*x - 12)*(-3*x/2 - 1/2)*(3*x/2 + 3/2)**2*(9*x + 15/2),-1,-1/3,-3/10,wjm1o2m,wjm1o2m,wjm3o2p,dphijm1,dtphijm1o2
(-18*x - 12)*(-3*x/2 - 1/2)**2*(3*x/2 + 3/2)*(9*x + 15/2),-1,-1/3,-1/10,wjm3o2p,wjm3o2p,wjm1o2m,dphijm1,dtphijm1o2
(-18*x - 12)*(-3*x/2 - 1/2)*(3*x/2 + 3/2)**2*(9*x + 15/2),-1,-1/3,-3/10,wjm1o2m,wjm3o2p,wjm1o2m,dphijm1,dtphijm1o2
(-18*x - 12)*(-3*x/2 - 1/2)*(3*x/2 + 3/2)**2*(9*x + 15/2),-1,-1/3,-3/10,wjm3o2p,wjm1o2m,wjm1o2m,dphijm1,dtphijm1o2
