Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,W Term 3,D Term 1,D Term 2
81*(-3*x/2 - 1/2)*(x + 1/3)*(x + 2/3)**2*(x + 1)/4,-1,-1/3,-1/90,wjm3o2p,phijm3o2,tphijm1o2
81*(x + 1/3)*(x + 2/3)**2*(x + 1)*(3*x/2 + 3/2)/4,-1,-1/3,-1/90,wjm1o2m,phijm3o2,tphijm1o2
-81*(-3*x/2 - 1/2)*(x + 1/3)*(x + 2/3)*(x + 1)**2/2,-1,-1/3,0,wjm3o2p,phijm1,tphijm1o2
-81*(x + 1/3)*(x + 2/3)*(x + 1)**2*(3*x/2 + 3/2)/2,-1,-1/3,2/45,wjm1o2m,phijm1,tphijm1o2
81*(-3*x/2 - 1/2)*(x + 2/3)**2*(x + 1)**2/4,-1,-1/3,1/90,wjm3o2p,phijm1o2,tphijm1o2
81*(x + 2/3)**2*(x + 1)**2*(3*x/2 + 3/2)/4,-1,-1/3,7/90,wjm1o2m,phijm1o2,tphijm1o2
81*x**2*(-3*x/2 + 1/2)*(x - 1/3)**2/4,-1/3,1/3,7/90,wjm1o2p,phijm1o2,tphijm1o2
81*x**2*(x - 1/3)**2*(3*x/2 + 1/2)/4,-1/3,1/3,1/90,wjp1o2m,phijm1o2,tphijm1o2
-81*x*(-3*x/2 + 1/2)*(x - 1/3)**2*(x + 1/3)/2,-1/3,1/3,2/45,wjm1o2p,phij,tphijm1o2
-81*x*(x - 1/3)**2*(x + 1/3)*(3*x/2 + 1/2)/2,-1/3,1/3,0,wjp1o2m,phij,tphijm1o2
81*x**2*(-3*x/2 + 1/2)*(x - 1/3)*(x + 1/3)/4,-1/3,1/3,-1/90,wjm1o2p,phijp1o2,tphijm1o2
81*x**2*(x - 1/3)*(x + 1/3)*(3*x/2 + 1/2)/4,-1/3,1/3,-1/90,wjp1o2m,phijp1o2,tphijm1o2
-81*x*(-3*x/2 + 1/2)*(x - 1/3)**2*(x + 1/3)/2,-1/3,1/3,2/45,wjm1o2p,phijm1o2,tphij
-81*x*(x - 1/3)**2*(x + 1/3)*(3*x/2 + 1/2)/2,-1/3,1/3,0,wjp1o2m,phijm1o2,tphij
81*(-3*x/2 + 1/2)*(x - 1/3)**2*(x + 1/3)**2,-1/3,1/3,8/45,wjm1o2p,phij,tphij
81*(x - 1/3)**2*(x + 1/3)**2*(3*x/2 + 1/2),-1/3,1/3,8/45,wjp1o2m,phij,tphij
-81*x*(-3*x/2 + 1/2)*(x - 1/3)*(x + 1/3)**2/2,-1/3,1/3,0,wjm1o2p,phijp1o2,tphij
-81*x*(x - 1/3)*(x + 1/3)**2*(3*x/2 + 1/2)/2,-1/3,1/3,2/45,wjp1o2m,phijp1o2,tphij
81*x**2*(-3*x/2 + 1/2)*(x - 1/3)*(x + 1/3)/4,-1/3,1/3,-1/90,wjm1o2p,phijm1o2,tphijp1o2
81*x**2*(x - 1/3)*(x + 1/3)*(3*x/2 + 1/2)/4,-1/3,1/3,-1/90,wjp1o2m,phijm1o2,tphijp1o2
-81*x*(-3*x/2 + 1/2)*(x - 1/3)*(x + 1/3)**2/2,-1/3,1/3,0,wjm1o2p,phij,tphijp1o2
-81*x*(x - 1/3)*(x + 1/3)**2*(3*x/2 + 1/2)/2,-1/3,1/3,2/45,wjp1o2m,phij,tphijp1o2
81*x**2*(-3*x/2 + 1/2)*(x + 1/3)**2/4,-1/3,1/3,1/90,wjm1o2p,phijp1o2,tphijp1o2
81*x**2*(x + 1/3)**2*(3*x/2 + 1/2)/4,-1/3,1/3,7/90,wjp1o2m,phijp1o2,tphijp1o2
81*(-3*x/2 + 3/2)*(x - 1)**2*(x - 2/3)**2/4,1/3,1,7/90,wjp1o2p,phijp1o2,tphijp1o2
81*(x - 1)**2*(x - 2/3)**2*(3*x/2 - 1/2)/4,1/3,1,1/90,wjp3o2m,phijp1o2,tphijp1o2
-81*(-3*x/2 + 3/2)*(x - 1)**2*(x - 2/3)*(x - 1/3)/2,1/3,1,2/45,wjp1o2p,phijp1,tphijp1o2
-81*(x - 1)**2*(x - 2/3)*(x - 1/3)*(3*x/2 - 1/2)/2,1/3,1,0,wjp3o2m,phijp1,tphijp1o2
81*(-3*x/2 + 3/2)*(x - 1)*(x - 2/3)**2*(x - 1/3)/4,1/3,1,-1/90,wjp1o2p,phijp3o2,tphijp1o2
81*(x - 1)*(x - 2/3)**2*(x - 1/3)*(3*x/2 - 1/2)/4,1/3,1,-1/90,wjp3o2m,phijp3o2,tphijp1o2
