Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,P Term 1
Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,P Term 1
x**2*(x - 1)**2/4,-1,1,4/15,Dphijm1o2,phijm1o2
-x*(x - 1)**2*(x + 1)/2,-1,1,2/15,Dphij,phijm1o2
x**2*(x - 1)*(x + 1)/4,-1,1,-1/15,Dphijp1o2,phijm1o2
-x*(x - 1)**2*(x + 1)/2,-1,1,2/15,Dphijm1o2,phij
(x - 1)**2*(x + 1)**2,-1,1,16/15,Dphij,phij
-x*(x - 1)*(x + 1)**2/2,-1,1,2/15,Dphijp1o2,phij
x**2*(x - 1)*(x + 1)/4,-1,1,-1/15,Dphijm1o2,phijp1o2
-x*(x - 1)*(x + 1)**2/2,-1,1,2/15,Dphij,phijp1o2
x**2*(x + 1)**2/4,-1,1,4/15,Dphijp1o2,phijp1o2
