Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,W Term 3,D Term 1,D Term 2
x**2*(x - 1)**2*(x - 1/2)**2/4,-1,1,46/105,Dphijm1o2,Dphijm1o2,dphijm1o2,dphijm1o2
-x*(x - 1)**2*(x - 1/2)**2*(x + 1)/2,-1,1,47/210,Dphij,Dphijm1o2,dphijm1o2,dphijm1o2
x**2*(x - 1)*(x - 1/2)**2*(x + 1)/4,-1,1,-19/420,Dphijp1o2,Dphijm1o2,dphijm1o2,dphijm1o2
-x*(x - 1)**2*(x - 1/2)**2*(x + 1)/2,-1,1,47/210,Dphijm1o2,Dphij,dphijm1o2,dphijm1o2
(x - 1)**2*(x - 1/2)**2*(x + 1)**2,-1,1,44/105,Dphij,Dphij,dphijm1o2,dphijm1o2
-x*(x - 1)*(x - 1/2)**2*(x + 1)**2/2,-1,1,-3/70,Dphijp1o2,Dphij,dphijm1o2,dphijm1o2
x**2*(x - 1)*(x - 1/2)**2*(x + 1)/4,-1,1,-19/420,Dphijm1o2,Dphijp1o2,dphijm1o2,dphijm1o2
-x*(x - 1)*(x - 1/2)**2*(x + 1)**2/2,-1,1,-3/70,Dphij,Dphijp1o2,dphijm1o2,dphijm1o2
x**2*(x - 1/2)**2*(x + 1)**2/4,-1,1,4/105,Dphijp1o2,Dphijp1o2,dphijm1o2,dphijm1o2
-x**3*(x - 1)**2*(x - 1/2)/2,-1,1,-19/35,Dphijm1o2,Dphijm1o2,dphij,dphijm1o2
x**2*(x - 1)**2*(x - 1/2)*(x + 1),-1,1,-26/105,Dphij,Dphijm1o2,dphij,dphijm1o2
-x**3*(x - 1)*(x - 1/2)*(x + 1)/2,-1,1,2/35,Dphijp1o2,Dphijm1o2,dphij,dphijm1o2
x**2*(x - 1)**2*(x - 1/2)*(x + 1),-1,1,-26/105,Dphijm1o2,Dphij,dphij,dphijm1o2
-2*x*(x - 1)**2*(x - 1/2)*(x + 1)**2,-1,1,-32/105,Dphij,Dphij,dphij,dphijm1o2
