Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,W Term 3,D Term 1,D Term 2
x*(x - 1)*(x - 1/2)**3/2,-1,1,-19/24,Dphijm1o2,Ddphijm1o2,dphijm1o2,dphijm1o2
-(x - 1)*(x - 1/2)**3*(x + 1),-1,1,-17/30,Dphij,Ddphijm1o2,dphijm1o2,dphijm1o2
x*(x - 1/2)**3*(x + 1)/2,-1,1,13/120,Dphijp1o2,Ddphijm1o2,dphijm1o2,dphijm1o2
-x**2*(x - 1)*(x - 1/2)**2,-1,1,29/30,Dphijm1o2,Ddphij,dphijm1o2,dphijm1o2
2*x*(x - 1)*(x - 1/2)**2*(x + 1),-1,1,8/15,Dphij,Ddphij,dphijm1o2,dphijm1o2
-x**2*(x - 1/2)**2*(x + 1),-1,1,-1/6,Dphijp1o2,Ddphij,dphijm1o2,dphijm1o2
x*(x - 1)*(x - 1/2)**2*(x + 1/2)/2,-1,1,-7/40,Dphijm1o2,Ddphijp1o2,dphijm1o2,dphijm1o2
-(x - 1)*(x - 1/2)**2*(x + 1/2)*(x + 1),-1,1,1/30,Dphij,Ddphijp1o2,dphijm1o2,dphijm1o2
x*(x - 1/2)**2*(x + 1/2)*(x + 1)/2,-1,1,7/120,Dphijp1o2,Ddphijp1o2,dphijm1o2,dphijm1o2
-x**2*(x - 1)*(x - 1/2)**2,-1,1,29/30,Dphijm1o2,Ddphijm1o2,dphij,dphijm1o2
2*x*(x - 1)*(x - 1/2)**2*(x + 1),-1,1,8/15,Dphij,Ddphijm1o2,dphij,dphijm1o2
-x**2*(x - 1/2)**2*(x + 1),-1,1,-1/6,Dphijp1o2,Ddphijm1o2,dphij,dphijm1o2
2*x**3*(x - 1)*(x - 1/2),-1,1,-6/5,Dphijm1o2,Ddphij,dphij,dphijm1o2
-4*x**2*(x - 1)*(x - 1/2)*(x + 1),-1,1,-8/15,Dphij,Ddphij,dphij,dphijm1o2
2*x**3*(x - 1/2)*(x + 1),-1,1,2/5,Dphijp1o2,Ddphij,dphij,dphijm1o2
-x**2*(x - 1)*(x - 1/2)*(x + 1/2),-1,1,7/30,Dphijm1o2,Ddphijp1o2,dphij,dphijm1o2
2*x*(x - 1)*(x - 1/2)*(x + 1/2)*(x + 1),-1,1,0,Dphij,Ddphijp1o2,dphij,dphijm1o2
-x**2*(x - 1/2)*(x + 1/2)*(x + 1),-1,1,-7/30,Dphijp1o2,Ddphijp1o2,dphij,dphijm1o2
x*(x - 1)*(x - 1/2)**2*(x + 1/2)/2,-1,1,-7/40,Dphijm1o2,Ddphijm1o2,dphijp1o2,dphijm1o2
-(x - 1)*(x - 1/2)**2*(x + 1/2)*(x + 1),-1,1,1/30,Dphij,Ddphijm1o2,dphijp1o2,dphijm1o2
x*(x - 1/2)**2*(x + 1/2)*(x + 1)/2,-1,1,7/120,Dphijp1o2,Ddphijm1o2,dphijp1o2,dphijm1o2
-x**2*(x - 1)*(x - 1/2)*(x + 1/2),-1,1,7/30,Dphijm1o2,Ddphij,dphijp1o2,dphijm1o2
2*x*(x - 1)*(x - 1/2)*(x + 1/2)*(x + 1),-1,1,0,Dphij,Ddphij,dphijp1o2,dphijm1o2
-x**2*(x - 1/2)*(x + 1/2)*(x + 1),-1,1,-7/30,Dphijp1o2,Ddphij,dphijp1o2,dphijm1o2
x*(x - 1)*(x - 1/2)*(x + 1/2)**2/2,-1,1,-7/120,Dphijm1o2,Ddphijp1o2,dphijp1o2,dphijm1o2
-(x - 1)*(x - 1/2)*(x + 1/2)**2*(x + 1),-1,1,-1/30,Dphij,Ddphijp1o2,dphijp1o2,dphijm1o2
x*(x - 1/2)*(x + 1/2)**2*(x + 1)/2,-1,1,7/40,Dphijp1o2,Ddphijp1o2,dphijp1o2,dphijm1o2
-x**2*(x - 1)*(x - 1/2)**2,-1,1,29/30,Dphijm1o2,Ddphijm1o2,dphijm1o2,dphij
2*x*(x - 1)*(x - 1/2)**2*(x + 1),-1,1,8/15,Dphij,Ddphijm1o2,dphijm1o2,dphij
-x**2*(x - 1/2)**2*(x + 1),-1,1,-1/6,Dphijp1o2,Ddphijm1o2,dphijm1o2,dphij
2*x**3*(x - 1)*(x - 1/2),-1,1,-6/5,Dphijm1o2,Ddphij,dphijm1o2,dphij
-4*x**2*(x - 1)*(x - 1/2)*(x + 1),-1,1,-8/15,Dphij,Ddphij,dphijm1o2,dphij
2*x**3*(x - 1/2)*(x + 1),-1,1,2/5,Dphijp1o2,Ddphij,dphijm1o2,dphij
-x**2*(x - 1)*(x - 1/2)*(x + 1/2),-1,1,7/30,Dphijm1o2,Ddphijp1o2,dphijm1o2,dphij
2*x*(x - 1)*(x - 1/2)*(x + 1/2)*(x + 1),-1,1,0,Dphij,Ddphijp1o2,dphijm1o2,dphij
-x**2*(x - 1/2)*(x + 1/2)*(x + 1),-1,1,-7/30,Dphijp1o2,Ddphijp1o2,dphijm1o2,dphij
2*x**3*(x - 1)*(x - 1/2),-1,1,-6/5,Dphijm1o2,Ddphijm1o2,dphij,dphij
-4*x**2*(x - 1)*(x - 1/2)*(x + 1),-1,1,-8/15,Dphij,Ddphijm1o2,dphij,dphij
2*x**3*(x - 1/2)*(x + 1),-1,1,2/5,Dphijp1o2,Ddphijm1o2,dphij,dphij
-4*x**4*(x - 1),-1,1,8/5,Dphijm1o2,Ddphij,dphij,dphij
8*x**3*(x - 1)*(x + 1),-1,1,0,Dphij,Ddphij,dphij,dphij
-4*x**4*(x + 1),-1,1,-8/5,Dphijp1o2,Ddphij,dphij,dphij
2*x**3*(x - 1)*(x + 1/2),-1,1,-2/5,Dphijm1o2,Ddphijp1o2,dphij,dphij
-4*x**2*(x - 1)*(x + 1/2)*(x + 1),-1,1,8/15,Dphij,Ddphijp1o2,dphij,dphij
2*x**3*(x + 1/2)*(x + 1),-1,1,6/5,Dphijp1o2,Ddphijp1o2,dphij,dphij
-x**2*(x - 1)*(x - 1/2)*(x + 1/2),-1,1,7/30,Dphijm1o2,Ddphijm1o2,dphijp1o2,dphij
2*x*(x - 1)*(x - 1/2)*(x + 1/2)*(x + 1),-1,1,0,Dphij,Ddphijm1o2,dphijp1o2,dphij
-x**2*(x - 1/2)*(x + 1/2)*(x + 1),-1,1,-7/30,Dphijp1o2,Ddphijm1o2,dphijp1o2,dphij
2*x**3*(x - 1)*(x + 1/2),-1,1,-2/5,Dphijm1o2,Ddphij,dphijp1o2,dphij
-4*x**2*(x - 1)*(x + 1/2)*(x + 1),-1,1,8/15,Dphij,Ddphij,dphijp1o2,dphij
2*x**3*(x + 1/2)*(x + 1),-1,1,6/5,Dphijp1o2,Ddphij,dphijp1o2,dphij
-x**2*(x - 1)*(x + 1/2)**2,-1,1,1/6,Dphijm1o2,Ddphijp1o2,dphijp1o2,dphij
2*x*(x - 1)*(x + 1/2)**2*(x + 1),-1,1,-8/15,Dphij,Ddphijp1o2,dphijp1o2,dphij
-x**2*(x + 1/2)**2*(x + 1),-1,1,-29/30,Dphijp1o2,Ddphijp1o2,dphijp1o2,dphij
x*(x - 1)*(x - 1/2)**2*(x + 1/2)/2,-1,1,-7/40,Dphijm1o2,Ddphijm1o2,dphijm1o2,dphijp1o2
-(x - 1)*(x - 1/2)**2*(x + 1/2)*(x + 1),-1,1,1/30,Dphij,Ddphijm1o2,dphijm1o2,dphijp1o2
x*(x - 1/2)**2*(x + 1/2)*(x + 1)/2,-1,1,7/120,Dphijp1o2,Ddphijm1o2,dphijm1o2,dphijp1o2
-x**2*(x - 1)*(x - 1/2)*(x + 1/2),-1,1,7/30,Dphijm1o2,Ddphij,dphijm1o2,dphijp1o2
2*x*(x - 1)*(x - 1/2)*(x + 1/2)*(x + 1),-1,1,0,Dphij,Ddphij,dphijm1o2,dphijp1o2
-x**2*(x - 1/2)*(x + 1/2)*(x + 1),-1,1,-7/30,Dphijp1o2,Ddphij,dphijm1o2,dphijp1o2
x*(x - 1)*(x - 1/2)*(x + 1/2)**2/2,-1,1,-7/120,Dphijm1o2,Ddphijp1o2,dphijm1o2,dphijp1o2
-(x - 1)*(x - 1/2)*(x + 1/2)**2*(x + 1),-1,1,-1/30,Dphij,Ddphijp1o2,dphijm1o2,dphijp1o2
x*(x - 1/2)*(x + 1/2)**2*(x + 1)/2,-1,1,7/40,Dphijp1o2,Ddphijp1o2,dphijm1o2,dphijp1o2
-x**2*(x - 1)*(x - 1/2)*(x + 1/2),-1,1,7/30,Dphijm1o2,Ddphijm1o2,dphij,dphijp1o2
2*x*(x - 1)*(x - 1/2)*(x + 1/2)*(x + 1),-1,1,0,Dphij,Ddphijm1o2,dphij,dphijp1o2
-x**2*(x - 1/2)*(x + 1/2)*(x + 1),-1,1,-7/30,Dphijp1o2,Ddphijm1o2,dphij,dphijp1o2
2*x**3*(x - 1)*(x + 1/2),-1,1,-2/5,Dphijm1o2,Ddphij,dphij,dphijp1o2
-4*x**2*(x - 1)*(x + 1/2)*(x + 1),-1,1,8/15,Dphij,Ddphij,dphij,dphijp1o2
2*x**3*(x + 1/2)*(x + 1),-1,1,6/5,Dphijp1o2,Ddphij,dphij,dphijp1o2
-x**2*(x - 1)*(x + 1/2)**2,-1,1,1/6,Dphijm1o2,Ddphijp1o2,dphij,dphijp1o2
2*x*(x - 1)*(x + 1/2)**2*(x + 1),-1,1,-8/15,Dphij,Ddphijp1o2,dphij,dphijp1o2
-x**2*(x + 1/2)**2*(x + 1),-1,1,-29/30,Dphijp1o2,Ddphijp1o2,dphij,dphijp1o2
x*(x - 1)*(x - 1/2)*(x + 1/2)**2/2,-1,1,-7/120,Dphijm1o2,Ddphijm1o2,dphijp1o2,dphijp1o2
-(x - 1)*(x - 1/2)*(x + 1/2)**2*(x + 1),-1,1,-1/30,Dphij,Ddphijm1o2,dphijp1o2,dphijp1o2
x*(x - 1/2)*(x + 1/2)**2*(x + 1)/2,-1,1,7/40,Dphijp1o2,Ddphijm1o2,dphijp1o2,dphijp1o2
-x**2*(x - 1)*(x + 1/2)**2,-1,1,1/6,Dphijm1o2,Ddphij,dphijp1o2,dphijp1o2
2*x*(x - 1)*(x + 1/2)**2*(x + 1),-1,1,-8/15,Dphij,Ddphij,dphijp1o2,dphijp1o2
-x**2*(x + 1/2)**2*(x + 1),-1,1,-29/30,Dphijp1o2,Ddphij,dphijp1o2,dphijp1o2
x*(x - 1)*(x + 1/2)**3/2,-1,1,-13/120,Dphijm1o2,Ddphijp1o2,dphijp1o2,dphijp1o2
-(x - 1)*(x + 1/2)**3*(x + 1),-1,1,17/30,Dphij,Ddphijp1o2,dphijp1o2,dphijp1o2
x*(x + 1/2)**3*(x + 1)/2,-1,1,19/24,Dphijp1o2,Ddphijp1o2,dphijp1o2,dphijp1o2
