Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,P Term 1,P Term 2
x**3*(x - 1)**3/8,-1,1,13/70,Dphijm1o2,phijm1o2,phijm1o2
-x**2*(x - 1)**3*(x + 1)/4,-1,1,2/21,Dphij,phijm1o2,phijm1o2
x**3*(x - 1)**2*(x + 1)/8,-1,1,-1/70,Dphijp1o2,phijm1o2,phijm1o2
-x**2*(x - 1)**3*(x + 1)/4,-1,1,2/21,Dphijm1o2,phij,phijm1o2
x*(x - 1)**3*(x + 1)**2/2,-1,1,8/105,Dphij,phij,phijm1o2
-x**2*(x - 1)**2*(x + 1)**2/4,-1,1,-4/105,Dphijp1o2,phij,phijm1o2
x**3*(x - 1)**2*(x + 1)/8,-1,1,-1/70,Dphijm1o2,phijp1o2,phijm1o2
-x**2*(x - 1)**2*(x + 1)**2/4,-1,1,-4/105,Dphij,phijp1o2,phijm1o2
x**3*(x - 1)*(x + 1)**2/8,-1,1,-1/70,Dphijp1o2,phijp1o2,phijm1o2
-x**2*(x - 1)**3*(x + 1)/4,-1,1,2/21,Dphijm1o2,phijm1o2,phij
x*(x - 1)**3*(x + 1)**2/2,-1,1,8/105,Dphij,phijm1o2,phij
-x**2*(x - 1)**2*(x + 1)**2/4,-1,1,-4/105,Dphijp1o2,phijm1o2,phij
x*(x - 1)**3*(x + 1)**2/2,-1,1,8/105,Dphijm1o2,phij,phij
-(x - 1)**3*(x + 1)**3,-1,1,32/35,Dphij,phij,phij
x*(x - 1)**2*(x + 1)**3/2,-1,1,8/105,Dphijp1o2,phij,phij
-x**2*(x - 1)**2*(x + 1)**2/4,-1,1,-4/105,Dphijm1o2,phijp1o2,phij
x*(x - 1)**2*(x + 1)**3/2,-1,1,8/105,Dphij,phijp1o2,phij
-x**2*(x - 1)*(x + 1)**3/4,-1,1,2/21,Dphijp1o2,phijp1o2,phij
x**3*(x - 1)**2*(x + 1)/8,-1,1,-1/70,Dphijm1o2,phijm1o2,phijp1o2
-x**2*(x - 1)**2*(x + 1)**2/4,-1,1,-4/105,Dphij,phijm1o2,phijp1o2
x**3*(x - 1)*(x + 1)**2/8,-1,1,-1/70,Dphijp1o2,phijm1o2,phijp1o2
-x**2*(x - 1)**2*(x + 1)**2/4,-1,1,-4/105,Dphijm1o2,phij,phijp1o2
x*(x - 1)**2*(x + 1)**3/2,-1,1,8/105,Dphij,phij,phijp1o2
-x**2*(x - 1)*(x + 1)**3/4,-1,1,2/21,Dphijp1o2,phij,phijp1o2
x**3*(x - 1)*(x + 1)**2/8,-1,1,-1/70,Dphijm1o2,phijp1o2,phijp1o2
-x**2*(x - 1)*(x + 1)**3/4,-1,1,2/21,Dphij,phijp1o2,phijp1o2
x**3*(x + 1)**3/8,-1,1,13/70,Dphijp1o2,phijp1o2,phijp1o2
