Integrand,lower bound of integral,upper bound of integral,Value of Integral,W Term 1,W Term 2,W Term 3,D Term 1,D Term 2
x**2*(-x/2 + 1/2)**3*(x - 1)**2/4,-1,1,4/21,wjm1o2p,wjm1o2p,wjm1o2p,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)**2/4,-1,1,2/105,wjp1o2m,wjm1o2p,wjm1o2p,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)**2/4,-1,1,2/105,wjm1o2p,wjp1o2m,wjm1o2p,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)**2/4,-1,1,1/210,wjp1o2m,wjp1o2m,wjm1o2p,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)**2/4,-1,1,2/105,wjm1o2p,wjm1o2p,wjp1o2m,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)**2/4,-1,1,1/210,wjp1o2m,wjm1o2p,wjp1o2m,phijm1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)**2/4,-1,1,1/210,wjm1o2p,wjp1o2m,wjp1o2m,phijm1o2,phijm1o2
x**2*(x/2 + 1/2)**3*(x - 1)**2/4,-1,1,1/210,wjp1o2m,wjp1o2m,wjp1o2m,phijm1o2,phijm1o2
-x*(-x/2 + 1/2)**3*(x - 1)**2*(x + 1)/2,-1,1,2/21,wjm1o2p,wjm1o2p,wjm1o2p,phij,phijm1o2
-x*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)**2*(x + 1)/2,-1,1,2/105,wjp1o2m,wjm1o2p,wjm1o2p,phij,phijm1o2
-x*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)**2*(x + 1)/2,-1,1,2/105,wjm1o2p,wjp1o2m,wjm1o2p,phij,phijm1o2
-x*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)**2*(x + 1)/2,-1,1,0,wjp1o2m,wjp1o2m,wjm1o2p,phij,phijm1o2
-x*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)**2*(x + 1)/2,-1,1,2/105,wjm1o2p,wjm1o2p,wjp1o2m,phij,phijm1o2
-x*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)**2*(x + 1)/2,-1,1,0,wjp1o2m,wjm1o2p,wjp1o2m,phij,phijm1o2
-x*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)**2*(x + 1)/2,-1,1,0,wjm1o2p,wjp1o2m,wjp1o2m,phij,phijm1o2
-x*(x/2 + 1/2)**3*(x - 1)**2*(x + 1)/2,-1,1,-2/105,wjp1o2m,wjp1o2m,wjp1o2m,phij,phijm1o2
x**2*(-x/2 + 1/2)**3*(x - 1)*(x + 1)/4,-1,1,-2/105,wjm1o2p,wjm1o2p,wjm1o2p,phijp1o2,phijm1o2
x**2*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)*(x + 1)/4,-1,1,-1/210,wjp1o2m,wjm1o2p,wjm1o2p,phijp1o2,phijm1o2
x**2*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)*(x + 1)/4,-1,1,-1/210,wjm1o2p,wjp1o2m,wjm1o2p,phijp1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)*(x + 1)/4,-1,1,-1/210,wjp1o2m,wjp1o2m,wjm1o2p,phijp1o2,phijm1o2
x**2*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)*(x + 1)/4,-1,1,-1/210,wjm1o2p,wjm1o2p,wjp1o2m,phijp1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)*(x + 1)/4,-1,1,-1/210,wjp1o2m,wjm1o2p,wjp1o2m,phijp1o2,phijm1o2
x**2*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)*(x + 1)/4,-1,1,-1/210,wjm1o2p,wjp1o2m,wjp1o2m,phijp1o2,phijm1o2
x**2*(x/2 + 1/2)**3*(x - 1)*(x + 1)/4,-1,1,-2/105,wjp1o2m,wjp1o2m,wjp1o2m,phijp1o2,phijm1o2
-x*(-x/2 + 1/2)**3*(x - 1)**2*(x + 1)/2,-1,1,2/21,wjm1o2p,wjm1o2p,wjm1o2p,phijm1o2,phij
-x*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)**2*(x + 1)/2,-1,1,2/105,wjp1o2m,wjm1o2p,wjm1o2p,phijm1o2,phij
-x*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)**2*(x + 1)/2,-1,1,2/105,wjm1o2p,wjp1o2m,wjm1o2p,phijm1o2,phij
-x*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)**2*(x + 1)/2,-1,1,0,wjp1o2m,wjp1o2m,wjm1o2p,phijm1o2,phij
-x*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)**2*(x + 1)/2,-1,1,2/105,wjm1o2p,wjm1o2p,wjp1o2m,phijm1o2,phij
-x*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)**2*(x + 1)/2,-1,1,0,wjp1o2m,wjm1o2p,wjp1o2m,phijm1o2,phij
-x*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)**2*(x + 1)/2,-1,1,0,wjm1o2p,wjp1o2m,wjp1o2m,phijm1o2,phij
-x*(x/2 + 1/2)**3*(x - 1)**2*(x + 1)/2,-1,1,-2/105,wjp1o2m,wjp1o2m,wjp1o2m,phijm1o2,phij
(-x/2 + 1/2)**3*(x - 1)**2*(x + 1)**2,-1,1,4/21,wjm1o2p,wjm1o2p,wjm1o2p,phij,phij
(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)**2*(x + 1)**2,-1,1,4/35,wjp1o2m,wjm1o2p,wjm1o2p,phij,phij
(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)**2*(x + 1)**2,-1,1,4/35,wjm1o2p,wjp1o2m,wjm1o2p,phij,phij
(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)**2*(x + 1)**2,-1,1,4/35,wjp1o2m,wjp1o2m,wjm1o2p,phij,phij
(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)**2*(x + 1)**2,-1,1,4/35,wjm1o2p,wjm1o2p,wjp1o2m,phij,phij
(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)**2*(x + 1)**2,-1,1,4/35,wjp1o2m,wjm1o2p,wjp1o2m,phij,phij
(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)**2*(x + 1)**2,-1,1,4/35,wjm1o2p,wjp1o2m,wjp1o2m,phij,phij
(x/2 + 1/2)**3*(x - 1)**2*(x + 1)**2,-1,1,4/21,wjp1o2m,wjp1o2m,wjp1o2m,phij,phij
-x*(-x/2 + 1/2)**3*(x - 1)*(x + 1)**2/2,-1,1,-2/105,wjm1o2p,wjm1o2p,wjm1o2p,phijp1o2,phij
-x*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)*(x + 1)**2/2,-1,1,0,wjp1o2m,wjm1o2p,wjm1o2p,phijp1o2,phij
-x*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)*(x + 1)**2/2,-1,1,0,wjm1o2p,wjp1o2m,wjm1o2p,phijp1o2,phij
-x*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)*(x + 1)**2/2,-1,1,2/105,wjp1o2m,wjp1o2m,wjm1o2p,phijp1o2,phij
-x*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)*(x + 1)**2/2,-1,1,0,wjm1o2p,wjm1o2p,wjp1o2m,phijp1o2,phij
-x*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)*(x + 1)**2/2,-1,1,2/105,wjp1o2m,wjm1o2p,wjp1o2m,phijp1o2,phij
-x*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)*(x + 1)**2/2,-1,1,2/105,wjm1o2p,wjp1o2m,wjp1o2m,phijp1o2,phij
-x*(x/2 + 1/2)**3*(x - 1)*(x + 1)**2/2,-1,1,2/21,wjp1o2m,wjp1o2m,wjp1o2m,phijp1o2,phij
x**2*(-x/2 + 1/2)**3*(x - 1)*(x + 1)/4,-1,1,-2/105,wjm1o2p,wjm1o2p,wjm1o2p,phijm1o2,phijp1o2
x**2*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)*(x + 1)/4,-1,1,-1/210,wjp1o2m,wjm1o2p,wjm1o2p,phijm1o2,phijp1o2
x**2*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)*(x + 1)/4,-1,1,-1/210,wjm1o2p,wjp1o2m,wjm1o2p,phijm1o2,phijp1o2
x**2*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)*(x + 1)/4,-1,1,-1/210,wjp1o2m,wjp1o2m,wjm1o2p,phijm1o2,phijp1o2
x**2*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)*(x + 1)/4,-1,1,-1/210,wjm1o2p,wjm1o2p,wjp1o2m,phijm1o2,phijp1o2
x**2*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)*(x + 1)/4,-1,1,-1/210,wjp1o2m,wjm1o2p,wjp1o2m,phijm1o2,phijp1o2
x**2*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)*(x + 1)/4,-1,1,-1/210,wjm1o2p,wjp1o2m,wjp1o2m,phijm1o2,phijp1o2
x**2*(x/2 + 1/2)**3*(x - 1)*(x + 1)/4,-1,1,-2/105,wjp1o2m,wjp1o2m,wjp1o2m,phijm1o2,phijp1o2
-x*(-x/2 + 1/2)**3*(x - 1)*(x + 1)**2/2,-1,1,-2/105,wjm1o2p,wjm1o2p,wjm1o2p,phij,phijp1o2
-x*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)*(x + 1)**2/2,-1,1,0,wjp1o2m,wjm1o2p,wjm1o2p,phij,phijp1o2
-x*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)*(x + 1)**2/2,-1,1,0,wjm1o2p,wjp1o2m,wjm1o2p,phij,phijp1o2
-x*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)*(x + 1)**2/2,-1,1,2/105,wjp1o2m,wjp1o2m,wjm1o2p,phij,phijp1o2
-x*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x - 1)*(x + 1)**2/2,-1,1,0,wjm1o2p,wjm1o2p,wjp1o2m,phij,phijp1o2
-x*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)*(x + 1)**2/2,-1,1,2/105,wjp1o2m,wjm1o2p,wjp1o2m,phij,phijp1o2
-x*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x - 1)*(x + 1)**2/2,-1,1,2/105,wjm1o2p,wjp1o2m,wjp1o2m,phij,phijp1o2
-x*(x/2 + 1/2)**3*(x - 1)*(x + 1)**2/2,-1,1,2/21,wjp1o2m,wjp1o2m,wjp1o2m,phij,phijp1o2
x**2*(-x/2 + 1/2)**3*(x + 1)**2/4,-1,1,1/210,wjm1o2p,wjm1o2p,wjm1o2p,phijp1o2,phijp1o2
x**2*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x + 1)**2/4,-1,1,1/210,wjp1o2m,wjm1o2p,wjm1o2p,phijp1o2,phijp1o2
x**2*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x + 1)**2/4,-1,1,1/210,wjm1o2p,wjp1o2m,wjm1o2p,phijp1o2,phijp1o2
x**2*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x + 1)**2/4,-1,1,2/105,wjp1o2m,wjp1o2m,wjm1o2p,phijp1o2,phijp1o2
x**2*(-x/2 + 1/2)**2*(x/2 + 1/2)*(x + 1)**2/4,-1,1,1/210,wjm1o2p,wjm1o2p,wjp1o2m,phijp1o2,phijp1o2
x**2*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x + 1)**2/4,-1,1,2/105,wjp1o2m,wjm1o2p,wjp1o2m,phijp1o2,phijp1o2
x**2*(-x/2 + 1/2)*(x/2 + 1/2)**2*(x + 1)**2/4,-1,1,2/105,wjm1o2p,wjp1o2m,wjp1o2m,phijp1o2,phijp1o2
x**2*(x/2 + 1/2)**3*(x + 1)**2/4,-1,1,4/21,wjp1o2m,wjp1o2m,wjp1o2m,phijp1o2,phijp1o2
