Time(s),wg1(cm),wg2(cm),wg3(cm),wg4(cm),wg5(cm),wg6(cm),wg7(cm)
0.039,0.5,-1.08,1.23,-0.72,-1.14,-0.01,1.0
0.079,0.26,-1.04,0.7,-0.77,-1.03,0.26,0.97
0.118,0.05,-1.0,0.37,-0.78,-0.86,0.57,0.91
0.157,-0.15,-0.89,0.11,-0.79,-0.7,0.86,0.83
0.197,-0.33,-0.76,-0.09,-0.81,-0.54,1.09,0.74
0.236,-0.53,-0.57,-0.22,-0.82,-0.41,1.24,0.64
0.275,-0.7,-0.36,-0.3,-0.81,-0.3,1.27,0.54
0.314,-0.85,-0.12,-0.38,-0.75,-0.23,1.22,0.43
0.354,-0.97,0.16,-0.46,-0.69,-0.17,1.09,0.34
0.393,-1.06,0.45,-0.51,-0.64,-0.09,0.94,0.22
0.432,-1.13,0.75,-0.54,-0.63,0.0,0.75,0.07
0.472,-1.19,1.04,-0.58,-0.65,0.12,0.58,-0.12
0.511,-1.2,1.29,-0.62,-0.65,0.3,0.46,-0.35
0.55,-1.16,1.44,-0.72,-0.6,0.51,0.38,-0.58
0.59,-1.07,1.48,-0.85,-0.52,0.77,0.32,-0.82
0.629,-0.88,1.46,-0.97,-0.42,1.05,0.23,-1.02
0.668,-0.66,1.35,-1.03,-0.34,1.27,0.09,-1.19
0.708,-0.41,1.17,-1.03,-0.24,1.41,-0.1,-1.28
0.747,-0.18,0.94,-1.01,-0.07,1.47,-0.33,-1.31
0.786,0.04,0.68,-0.97,0.22,1.43,-0.56,-1.27
0.826,0.26,0.4,-0.94,0.63,1.31,-0.76,-1.14
0.865,0.48,0.14,-0.86,1.09,1.06,-0.92,-0.96
0.904,0.65,-0.09,-0.72,1.52,0.74,-1.04,-0.73
0.943,0.8,-0.3,-0.47,1.85,0.36,-1.11,-0.48
0.983,0.93,-0.48,-0.15,1.97,-0.02,-1.14,-0.2
1.022,1.04,-0.63,0.26,1.84,-0.37,-1.11,0.07
1.061,1.12,-0.77,0.73,1.45,-0.66,-1.05,0.33
1.101,1.19,-0.88,1.22,0.89,-0.91,-0.96,0.56
1.14,1.21,-0.96,1.72,0.36,-1.08,-0.84,0.77
1.179,1.17,-1.03,2.04,0.01,-1.2,-0.7,0.9
1.219,1.01,-1.08,2.07,-0.29,-1.24,-0.52,0.98
1.258,0.78,-1.09,1.8,-0.54,-1.22,-0.31,1.0
1.297,0.52,-1.08,1.28,-0.68,-1.13,-0.06,1.01
1.337,0.29,-1.07,0.76,-0.75,-1.01,0.22,0.98
1.376,0.08,-1.0,0.4,-0.78,-0.86,0.52,0.93
1.415,-0.12,-0.9,0.14,-0.8,-0.71,0.82,0.86
1.455,-0.31,-0.78,-0.07,-0.82,-0.56,1.07,0.78
1.494,-0.5,-0.61,-0.19,-0.84,-0.43,1.22,0.67
1.533,-0.67,-0.41,-0.26,-0.84,-0.33,1.28,0.58
1.572,-0.84,-0.18,-0.33,-0.79,-0.26,1.25,0.47
1.612,-0.95,0.1,-0.41,-0.72,-0.2,1.13,0.36
1.651,-1.05,0.39,-0.49,-0.66,-0.13,0.96,0.23
1.69,-1.12,0.69,-0.54,-0.64,-0.03,0.8,0.08
1.73,-1.19,0.98,-0.58,-0.65,0.09,0.62,-0.11
1.769,-1.21,1.24,-0.64,-0.65,0.26,0.5,-0.35
1.808,-1.19,1.41,-0.73,-0.6,0.47,0.41,-0.58
1.848,-1.08,1.48,-0.85,-0.51,0.74,0.33,-0.82
1.887,-0.89,1.46,-0.99,-0.41,0.99,0.24,-1.02
1.926,-0.68,1.36,-1.04,-0.32,1.24,0.09,-1.19
1.966,-0.44,1.21,-1.05,-0.24,1.41,-0.1,-1.28
2.005,-0.2,0.98,-1.01,-0.1,1.47,-0.33,-1.32
2.044,0.02,0.71,-0.96,0.16,1.46,-0.56,-1.27
2.084,0.24,0.42,-0.93,0.53,1.34,-0.75,-1.16
2.123,0.45,0.17,-0.87,0.97,1.11,-0.9,-0.99
2.162,0.64,-0.07,-0.74,1.4,0.79,-1.01,-0.76
2.201,0.78,-0.26,-0.52,1.75,0.42,-1.08,-0.5
2.241,0.91,-0.45,-0.21,1.94,0.02,-1.1,-0.23
2.28,1.04,-0.61,0.17,1.88,-0.34,-1.09,0.06
2.319,1.12,-0.76,0.62,1.57,-0.63,-1.04,0.32
2.359,1.19,-0.86,1.12,1.03,-0.87,-0.96,0.55
2.398,1.21,-0.96,1.62,0.48,-1.07,-0.85,0.75
2.437,1.17,-1.04,2.0,0.07,-1.18,-0.72,0.9
2.477,1.04,-1.09,2.07,-0.24,-1.24,-0.56,0.97
2.516,0.82,-1.1,1.85,-0.52,-1.2,-0.34,1.0
2.555,0.57,-1.1,1.4,-0.69,-1.13,-0.1,1.0
2.595,0.34,-1.07,0.86,-0.78,-1.0,0.18,0.98
2.634,0.11,-1.01,0.45,-0.82,-0.86,0.45,0.93
2.673,-0.1,-0.91,0.19,-0.83,-0.71,0.75,0.86
2.713,-0.3,-0.79,-0.05,-0.84,-0.56,1.01,0.79
2.752,-0.48,-0.63,-0.17,-0.84,-0.44,1.21,0.69
2.791,-0.66,-0.45,-0.25,-0.84,-0.35,1.28,0.6
2.83,-0.8,-0.23,-0.32,-0.79,-0.28,1.26,0.49
2.87,-0.93,0.04,-0.41,-0.71,-0.23,1.16,0.39
2.909,-1.02,0.32,-0.49,-0.64,-0.16,1.01,0.26
2.948,-1.12,0.64,-0.53,-0.62,-0.08,0.82,0.09
2.988,-1.19,0.93,-0.58,-0.63,0.04,0.64,-0.1
3.027,-1.22,1.21,-0.62,-0.64,0.2,0.5,-0.33
3.066,-1.2,1.4,-0.71,-0.6,0.42,0.39,-0.57
3.106,-1.09,1.47,-0.83,-0.53,0.68,0.32,-0.8
3.145,-0.93,1.46,-0.96,-0.43,0.96,0.24,-1.0
3.184,-0.71,1.38,-1.04,-0.36,1.22,0.12,-1.15
3.224,-0.47,1.23,-1.05,-0.28,1.4,-0.06,-1.26
3.263,-0.23,1.02,-1.03,-0.16,1.48,-0.27,-1.31
3.302,0.0,0.75,-1.0,0.07,1.47,-0.5,-1.27
