Time(s),wg1(cm),wg2(cm),wg3(cm),wg4(cm),wg5(cm),wg6(cm),wg7(cm)
0.039,-0.08,0.01,-0.29,0.45,0.0,0.88,-0.18
0.079,0.04,-0.1,-0.33,0.93,-0.13,1.0,-0.16
0.118,0.18,-0.2,-0.39,1.49,-0.26,1.1,-0.14
0.157,0.31,-0.31,-0.44,2.01,-0.35,1.16,-0.13
0.197,0.44,-0.42,-0.5,2.26,-0.42,1.18,-0.12
0.236,0.56,-0.52,-0.55,2.23,-0.48,1.19,-0.11
0.275,0.65,-0.6,-0.61,1.96,-0.51,1.16,-0.07
0.314,0.71,-0.7,-0.66,1.51,-0.56,1.06,-0.05
0.354,0.75,-0.77,-0.73,0.97,-0.6,0.87,-0.01
0.393,0.79,-0.84,-0.79,0.53,-0.63,0.59,0.02
0.432,0.86,-0.9,-0.87,0.26,-0.65,0.24,0.03
0.472,0.92,-0.95,-0.93,0.03,-0.65,-0.13,0.04
0.511,0.97,-0.99,-0.97,-0.11,-0.65,-0.46,0.02
0.55,0.99,-1.02,-1.02,-0.12,-0.63,-0.73,0.0
0.59,1.02,-1.02,-1.04,-0.08,-0.6,-0.93,-0.05
0.629,1.02,-1.03,-1.06,-0.02,-0.57,-1.08,-0.11
0.668,0.98,-1.02,-1.07,0.05,-0.54,-1.11,-0.14
0.708,0.94,-1.0,-1.04,0.13,-0.5,-1.09,-0.19
0.747,0.87,-0.97,-0.98,0.19,-0.46,-0.98,-0.23
0.786,0.8,-0.93,-0.91,0.21,-0.4,-0.85,-0.26
0.826,0.71,-0.88,-0.83,0.19,-0.34,-0.67,-0.26
0.865,0.59,-0.83,-0.74,0.13,-0.27,-0.48,-0.19
0.904,0.45,-0.76,-0.61,0.05,-0.2,-0.29,-0.05
0.943,0.31,-0.66,-0.41,-0.06,-0.08,-0.1,0.15
0.983,0.17,-0.57,-0.13,-0.17,0.08,0.08,0.4
1.022,0.03,-0.46,0.23,-0.29,0.33,0.24,0.68
1.061,-0.11,-0.31,0.65,-0.37,0.64,0.35,1.02
1.101,-0.25,-0.17,1.08,-0.43,1.01,0.42,1.36
1.14,-0.37,0.01,1.46,-0.47,1.4,0.4,1.65
1.179,-0.49,0.2,1.74,-0.5,1.76,0.3,1.8
