dx,dt,time,xi,Eval,height(m),G,u(m/s),true height,true velocity
0.09765625,0.0119566931342,0.0119566931342,-50.0,528.396026442,1.0,3.16905391512e-246,-2.55139316958e-43,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-49.90234375,528.396026442,1.0,-1.60903730887e-260,-5.35951886581e-43,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-49.8046875,528.396026442,1.0,-2.58123458812e-259,-8.33455543636e-43,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-49.70703125,528.396026442,1.0,1.8752906404e-258,-1.15495669439e-42,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-49.609375,528.396026442,1.0,-1.28343590649e-256,-1.50958741708e-42,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-49.51171875,528.396026442,1.0,-5.53889312293e-255,-1.90751174011e-42,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-49.4140625,528.396026442,1.0,-1.0513906946e-253,-2.36014118672e-42,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-49.31640625,528.396026442,1.0,-9.43410028665e-253,-2.88045657932e-42,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-49.21875,528.396026442,1.0,-1.26576073244e-250,-3.4833799204e-42,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-49.12109375,528.396026442,1.0,-1.88554702211e-249,-4.18620230889e-42,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-49.0234375,528.396026442,1.0,-6.94626211602e-248,-5.00907982559e-42,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-48.92578125,528.396026442,1.0,-1.85928903395e-246,-5.97561158454e-42,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-48.828125,528.396026442,1.0,-2.93672319209e-245,-7.1135165266e-42,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-48.73046875,528.396026442,1.0,-1.27842807011e-243,-8.45542836454e-42,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-48.6328125,528.396026442,1.0,-3.50515075644e-242,-1.00398314777e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-48.53515625,528.396026442,1.0,-7.32664380955e-241,-1.19121645967e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-48.4375,528.396026442,1.0,-1.37222258471e-239,-1.41261239301e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-48.33984375,528.396026442,1.0,-3.53528528929e-238,-1.67452031059e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-48.2421875,528.396026442,1.0,-2.71305151612e-237,-1.98445140902e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-48.14453125,528.396026442,1.0,-2.1294894919e-236,-2.35129413062e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-48.046875,528.396026442,1.0,-5.6742704615e-234,-2.78556907298e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-47.94921875,528.396026442,1.0,-3.24992857841e-232,-3.29973070679e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-47.8515625,528.396026442,1.0,-4.46854695891e-231,-3.90852455466e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-47.75390625,528.396026442,1.0,-2.83410545862e-230,-4.62941007462e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-47.65625,528.396026442,1.0,-3.34596208085e-228,-5.48306137581e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-47.55859375,528.396026442,1.0,-6.61772212787e-227,-6.49396012656e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-47.4609375,528.396026442,1.0,-1.86439480546e-225,-7.69109765843e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-47.36328125,528.396026442,1.0,-1.08064544196e-223,-9.10880640191e-41,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-47.265625,528.396026442,1.0,-1.91634458374e-222,-1.07877444983e-40,1.0,0.0
0.09765625,0.0119566931342,0.0119566931342,-47.16796875,528.396026442,1.0,-2.1901080957e-221,-1.27760618251e-40,1.0,0.0
