betas,dx,H inital,H num inital,H num end,Relative Error,Rel Err Nums
1000.0,0.00244140625,10398.6238176,10398.6233218,10396.2822477,0.000225180749694,2.34107407361
1000.0,0.0048828125,10398.6492048,10398.6468672,10394.7869016,0.000371423551078,3.85996564016
1000.0,0.009765625,10398.6999792,10398.6937378,10392.6820827,0.000578716237621,6.01165511237
1000.0,0.01953125,10398.8015281,10398.7874756,10390.304066,0.000817157826633,8.48340964939
1000.0,0.0390625,10399.0046257,10398.9749512,10388.4560797,0.00101438035583,10.5188715412
1000.0,0.078125,10399.410821,10399.3499025,10387.5823634,0.00113741613141,11.7675390591
1000.0,0.15625,10400.2232117,10400.0998049,10387.2172679,0.00125054467441,12.8825370617
1000.0,0.3125,10401.8479929,10401.5996099,10387.0695773,0.00142074904479,14.5300326008
1000.0,0.625,10405.0975554,10404.5992198,10387.369475,0.00170378800445,17.2297447494
1000.0,1.25,10411.5966804,10410.5984395,10389.0125998,0.00216912749247,21.5858397029
