dx,time,diff,height norm,velocity norm
0.0048828125,30.0,0.025,0.0,0.0
0.009765625,30.0,0.025,2.06834463886e-11,6.4292956773e-11
0.0244140625,30.0,0.025,3.65629221456e-11,1.70267395343e-10
0.029296875,30.0,0.025,4.17695137611e-11,2.64939370763e-10
0.01953125,30.0,0.025,3.24716799848e-11,1.23194564586e-10
0.048828125,30.0,0.025,9.07112953528e-11,1.20225188128e-09
0.05859375,30.0,0.025,1.42729931142e-10,2.16544865513e-09
0.0390625,30.0,0.025,5.84345412725e-11,5.95547562238e-10
0.078125,30.0,0.025,3.19827215376e-10,5.43772862636e-09
0.15625,30.0,0.025,2.61782266205e-09,4.8133839194e-08
0.3125,30.0,0.025,2.18189766644e-08,4.07231184487e-07
0.625,30.0,0.025,1.77510488928e-07,3.32797799174e-06
1.25,30.0,0.025,1.41293897389e-06,2.65607407768e-05
