betas,dx,H inital,H num inital,H num end,Relative Error,Rel Err Nums
0.025,0.00244140625,10335.8413872,10335.8413872,10335.8413872,8.48968608745e-13,7.45967554394e-09
0.025,0.0048828125,10335.8667744,10335.8667744,10335.8667744,1.52916047317e-12,1.20871845866e-08
0.025,0.009765625,10335.9175488,10335.9175488,10335.9175487,1.25647836142e-11,8.63492459757e-08
0.025,0.0244140625,10336.0698721,10336.0698721,10336.0698714,6.50205122719e-11,6.69961082167e-07
0.025,0.029296875,10336.1206465,10336.2164473,10336.2164463,9.26844965906e-06,9.87063685898e-07
0.025,0.0341796875,10336.1714209,10336.3151221,10336.3151207,1.39026138371e-05,1.36748167279e-06
0.025,0.01953125,10336.0190977,10336.0190977,10336.0190972,4.43103310525e-11,4.13136149291e-07
0.025,0.0439453125,10336.2729697,10336.3687705,10336.3687682,9.26818322016e-06,2.31285048358e-06
0.025,0.048828125,10336.3237441,10336.3237441,10336.3237413,2.74988056224e-10,2.87969123747e-06
0.025,0.0537109375,10336.3745186,10336.5900703,10336.5900668,2.08533701235e-05,3.50540176441e-06
0.025,0.05859375,10336.425293,10336.5210938,10336.5210896,9.26786841628e-06,4.19520983996e-06
0.025,0.0634765625,10336.4760674,10336.5239678,10336.5239628,4.63363095253e-06,4.94847517984e-06
0.025,0.068359375,10336.5268418,10336.670543,10336.6705372,1.39017102731e-05,5.76706042921e-06
0.025,0.0732421875,10336.5776162,10336.8171182,10336.8171115,2.31696888675e-05,6.64886465529e-06
0.025,0.0390625,10336.2221953,10336.2221953,10336.2221935,1.75522896655e-10,1.80987626663e-06
0.025,0.078125,10336.6283906,10336.6283906,10336.628383,7.37836570735e-10,7.59824797569e-06
0.025,0.15625,10337.4407813,10337.4407813,10337.4407492,3.1005487656e-09,3.20774233842e-05
0.025,0.3125,10339.0655625,10339.0655625,10339.0654231,1.34830104507e-08,0.000139435185702
0.025,0.625,10342.315125,10342.315125,10342.3144816,6.2210608551e-08,0.000643426854367
0.025,1.25,10348.81425,10348.81425,10348.8109978,3.14258388761e-07,0.00325217297905
